ds,yhat,yhat_lower,yhat_upper
2009-12-06,256473.06687707527,218810.16137809612,293267.8436873002
2009-12-13,210583.49862549765,173995.80776981023,247542.05167479892
2009-12-20,130357.99403169706,92541.07162142538,168145.80400772384
2009-12-27,60628.2988006261,22360.001291897777,100208.4207762773
2010-01-03,48559.67055522197,11341.176241453864,86480.02752901934
2010-01-10,94211.30519916379,57662.239421837985,130982.41556246996
2010-01-17,147565.68632460388,107746.54280744554,184288.10154271298
2010-01-24,158835.06843495567,121782.49541157793,196161.05090782707
2010-01-31,127323.16693566214,91826.94606157929,164518.81163228318
2010-02-07,95508.51299038806,60873.18990911055,134522.20642131983
2010-02-14,98288.42788130046,59706.22194431937,132937.2545311985
2010-02-21,127141.09533457286,91547.86897615633,162678.78660098522
2010-02-28,147302.12594689656,110467.92187142537,183530.31887532905
2010-03-07,141812.11124548464,106128.48311266552,179044.8100208351
2010-03-14,127838.82394819566,91845.55028790033,162768.49823466272
2010-03-21,129370.5361160276,95503.73838536005,167760.44529433074
2010-03-28,144818.4931373845,107729.22041330488,182768.6695708046
2010-04-04,150893.81248822162,115731.34447149714,188743.13409507996
2010-04-11,135377.76892636536,100725.70359962233,171781.58368380662
2010-04-18,114927.0680097976,77445.7262758344,150868.76634807436
2010-04-25,114967.53980787811,82579.84774626575,152472.69761839331
2010-05-02,137962.29773920236,99749.75081302911,172971.1736719338
2010-05-09,160444.67366006796,123420.25702701096,198120.9877217493
2010-05-16,161706.11937885196,124110.77441920803,196017.78821450035
2010-05-23,147321.00863013617,109546.6722903791,183926.2828578259
2010-05-30,138977.65603461443,104527.34911017667,176029.12867201678
2010-06-06,145775.79212228424,111414.6720231388,183431.4484950549
2010-06-13,154349.32925754596,117779.179538432,192751.86289178077
2010-06-20,148821.26018873558,113953.47669712783,184867.58293920834
2010-06-27,132755.0772078371,97985.83199632299,172527.10201034768
2010-07-04,124361.58311701586,87697.1950442947,161191.87557801604
2010-07-11,132589.85826258804,94689.3180613548,168909.4029282157
2010-07-18,146392.35654338542,109420.15021719498,184924.3230147716
2010-07-25,150535.69621756676,113845.8377464833,187659.34268830784
2010-08-01,145377.0441786563,108996.74045208892,182790.21701080684
2010-08-08,143591.21034188676,107148.57166770856,180512.53871764592
2010-08-15,149458.41565632145,113814.27988362714,190112.36795921827
2010-08-22,151267.97822831926,112965.86139928279,188662.95132225158
2010-08-29,139778.68918032592,103239.45547261907,177163.73729293337
2010-09-05,128190.01525745104,93246.06847047638,166972.0782547457
2010-09-12,143054.3191446467,106007.41223748818,176661.9749247692
2010-09-19,192236.1795185923,156247.17199655794,227894.93747528509
2010-09-26,249003.13000041086,213695.1686177383,282429.77206410177
2010-10-03,275612.8362887821,240678.51387901363,313327.16239925125
2010-10-10,261894.45550610733,229337.4664762114,298173.1364699329
2010-10-17,234181.80835204382,194629.14000638312,270815.7457750213
2010-10-24,224561.35172364753,190568.94008929178,261959.56569956033
2010-10-31,237715.9117587807,202077.72052209266,273118.35609099874
2010-11-07,253572.34187207534,217254.48209944397,290756.38631590025
2010-11-14,257678.3162038531,219350.57838568004,292116.82212028536
2010-11-21,257119.69744809036,220199.16228470605,294539.5030788554
2010-11-28,261614.23723597592,225515.03178366556,295056.8919117881
2010-12-05,258408.32411339544,221520.15023689062,298441.6247042225
2010-12-12,220605.41610801144,183659.89067715209,256096.03997288912
2010-12-19,144635.18051281202,104879.0989682936,180703.35170415434
2010-12-26,69360.6532569105,31915.938186005413,106266.04984530865
2011-01-02,45372.88912236165,7096.831789734726,78623.22105073139
2011-01-09,83152.49181876569,45017.556882963676,119207.52512211319
2011-01-16,139278.17662113495,99748.73075905535,173686.54869529704
2011-01-23,159704.46980941654,123621.95349822138,196642.28362176052
2011-01-30,133583.9803787916,98268.7120976645,169296.45858425205
2011-02-06,98540.0925496958,60108.31718443068,134638.30198790683
2011-02-13,94458.3337358486,59223.00084360671,129157.06227823829
2011-02-20,120865.27493465848,83755.51815245171,157875.3300870218
2011-02-27,144684.59208458816,110613.44641259617,183875.12266104564
2011-03-06,143348.4441390312,108174.75144419228,180863.30337297937
2011-03-13,128874.65762497958,89124.86860038195,164111.82930632148
2011-03-20,126823.49465697339,86470.15844032557,162178.2307597243
2011-03-27,141153.46219162733,103631.51784606432,177574.42130898635
2011-04-03,150505.0793491581,115490.32997730357,187646.3082207849
2011-04-10,138469.4359568134,102412.5576394768,174818.95336075433
2011-04-17,116944.05523078695,83025.62088437239,155680.4575962906
2011-04-24,112237.30967816839,76730.55958801357,150408.07531385086
2011-05-01,132257.04419750895,92353.27786633879,168593.6138316111
2011-05-08,156746.04329012914,121867.76096484378,195001.87793051553
2011-05-15,162192.99499026826,127414.82093671606,198360.4419632436
2011-05-22,149182.89515437634,112307.24142287811,185486.52194861163
2011-05-29,138474.59723629343,101932.13821443013,175251.07749820847
2011-06-05,143010.27132625904,105504.5773202452,179779.7003459418
2011-06-12,152690.55455522193,116182.02656218133,188152.29252529316
2011-06-19,150121.3464538398,111895.79502913245,187027.475711872
2011-06-26,134830.3124379043,97021.03534383806,172597.14193470255
2011-07-03,123910.12305825193,92431.02064498203,159837.71307403527
2011-07-10,129456.23301033674,92541.1539883414,169134.39284822356
2011-07-17,143516.78572161793,105910.86138990271,177451.24293779233
2011-07-24,149900.68238258662,114822.26486658768,186420.71585779916
2011-07-31,145611.0020069282,105492.32589732949,181147.732824182
2011-08-07,142432.25220119214,103709.07183451872,184531.96539875586
2011-08-14,147426.42270711524,106393.01922879703,185554.83199650884
2011-08-21,151052.8245598827,111615.5055159086,188617.5273722228
2011-08-28,141762.64429840952,105738.25496680777,181316.65540979154
2011-09-04,128330.0482535279,88581.13561730103,165260.7728321497
2011-09-11,136896.22635502418,100090.12836497535,174804.33368751474
2011-09-18,180768.47618681574,143207.72170560743,219184.6905897443
2011-09-25,238870.70074218826,199235.80131283274,275845.8539635801
2011-10-02,272611.012225128,236453.89728774517,308929.6856327521
2011-10-09,265025.897104039,228741.60036618004,301160.77562429046
2011-10-16,237217.24802533176,196770.2372848461,275755.2750964772
2011-10-23,223095.12102157838,187179.6870714965,261085.3183170451
2011-10-30,233232.49244894474,194631.84434356197,269723.82064381824
2011-11-06,250149.0723289077,213183.69463871184,286102.1603542684
2011-11-13,256353.68134499821,218687.8492044734,291362.8868268397
2011-11-20,255573.91979493675,221373.63445466396,293135.9428730897
2011-11-27,259293.54807869712,221391.77851705236,295909.925336776
2011-12-04,259456.90623666783,222794.54801730302,293483.9579612323
2011-12-11,229428.8794537971,191162.72404208512,264817.3693718115
2011-12-18,158900.45159250306,123032.8075520186,198304.14533497684
2011-12-25,79819.78314953229,40907.15328126328,115525.28422678942
2012-01-01,44397.19650559066,7680.751422370936,82488.83083723881
2012-01-08,72930.73281117706,34110.21796150923,106338.91183972782
2012-01-15,129982.83044721308,92387.7476820071,165988.70110199126
2012-01-22,159124.9043123901,124271.23275374946,191890.53596894856
2012-01-29,139637.69183163278,103079.13990852925,177385.59994950375
2012-02-05,102754.17657069134,68471.11515719787,142323.3723648471
2012-02-12,91840.84560924653,55685.24999390242,129100.8708311865
2012-02-19,114672.45921935448,77524.14521352663,152612.6011067633
2012-02-26,141341.8706524915,104492.54532658757,178084.39102766477
2012-03-04,144556.16139853428,108221.13500778833,179091.83857968467
