InvoiceDate,TotalRevenue
2009-12-01,683504.01
2010-01-01,555802.672
2010-02-01,504558.956
2010-03-01,696978.471
2010-04-01,591982.002
2010-05-01,597833.38
2010-06-01,636371.13
2010-07-01,589736.17
2010-08-01,602224.6
2010-09-01,829013.951
2010-10-01,1033112.01
2010-11-01,1166460.022
2010-12-01,570422.73
2011-01-01,568101.31
2011-02-01,446084.92
2011-03-01,594081.76
2011-04-01,468374.331
2011-05-01,677355.15
2011-06-01,660046.05
2011-07-01,598962.901
2011-08-01,644051.04
2011-09-01,950690.202
2011-10-01,1035642.45
2011-11-01,1156205.61
2011-12-01,517208.44
