InvoiceDate,TotalRevenue,Rolling4W
2009-12-06,232177.51,
2009-12-13,207908.73,
2009-12-20,207685.87,
2009-12-27,35731.9,170876.0025
2010-01-03,0.0,112831.625
2010-01-10,167636.95,102763.68
2010-01-17,125493.61,82215.615
2010-01-24,119473.351,103150.97774999999
2010-01-31,143198.761,138950.668
2010-02-07,112299.692,125116.3535
2010-02-14,80059.66,113757.866
2010-02-21,160506.402,124016.12875
2010-02-28,151693.202,126139.739
2010-03-07,151813.96,136018.306
2010-03-14,118785.1,145699.666
2010-03-21,164459.771,146688.00825
2010-03-28,172063.68,151780.62774999999
2010-04-04,118502.62,143452.79275000002
2010-04-11,124314.76,144835.20775
2010-04-18,141539.381,139105.11025
2010-04-25,138922.62,130819.84525
2010-05-02,170900.751,143919.378
2010-05-09,149102.83,150116.39549999998
2010-05-16,155673.54,153649.93524999998
2010-05-23,138681.57,153589.67275
2010-05-30,142033.27,146372.8025
2010-06-06,90358.06,131686.61000000002
2010-06-13,200239.71,142828.1525
2010-06-20,126987.39,139904.60749999998
2010-06-27,103924.84,130377.49999999999
2010-07-04,170793.57,150486.3775
2010-07-11,136775.12,134620.22999999998
2010-07-18,144495.58,138997.2775
2010-07-25,133616.0,146420.0675
2010-08-01,149554.98,141110.41999999998
2010-08-08,117866.37,136383.23249999998
2010-08-15,139842.07,135219.855
2010-08-22,154786.91,140512.58250000002
2010-08-29,136279.55,137193.725
2010-09-05,123619.55,138632.02
2010-09-12,119333.94,133504.9875
2010-09-19,155778.921,133752.99024999997
2010-09-26,223587.04,155579.86275
2010-10-03,302392.66,200273.14025
2010-10-10,243007.44,231191.51525
2010-10-17,298614.04,266900.295
2010-10-24,220882.67,266224.2025
2010-10-31,197721.45,240056.4
2010-11-07,262597.86,244954.00499999998
2010-11-14,282707.701,240977.42025
2010-11-21,261610.06100000002,251159.26799999998
2010-11-28,246492.99,263352.153
2010-12-05,261679.38,263122.533
2010-12-12,212619.13,245600.39025
2010-12-19,163116.12,220976.905
2010-12-26,46059.51,170868.535
2011-01-02,0.0,105448.69
2011-01-09,114636.8,80953.1075
2011-01-16,154344.85,78760.29000000001
2011-01-23,175452.23,111108.47
2011-01-30,104861.0,137323.72
2011-02-06,105955.81,135153.4725
2011-02-13,87827.94,118524.24500000001
2011-02-20,125700.15,106086.225
2011-02-27,130380.77,112466.1675
2011-03-06,117386.82,115323.92
2011-03-13,112193.93000000001,121415.41750000001
2011-03-20,137669.82,124407.83499999999
2011-03-27,129560.72,124202.82250000001
2011-04-03,143657.58,130770.51250000001
2011-04-10,119697.73,132646.4625
2011-04-17,134930.821,131961.71275
2011-04-24,115969.4,128563.88274999999
2011-05-01,73374.06,110993.00275000001
2011-05-08,131094.12,113842.10024999999
2011-05-15,178574.32,124752.975
2011-05-22,195818.79,144715.3225
2011-05-29,146776.61,163065.96000000002
2011-06-05,102040.37,155802.52250000002
2011-06-12,193704.12,159584.97249999997
2011-06-19,171702.44,153555.885
2011-06-26,112600.67,145011.9
2011-07-03,116250.82,148564.5125
2011-07-10,131222.52,132944.1125
2011-07-17,118078.73,119538.185
2011-07-24,167284.44,133209.1275
2011-07-31,164258.041,145210.93275
2011-08-07,155943.0,151391.05275
2011-08-14,143544.62,157757.52525
2011-08-21,167634.4,157845.01525
2011-08-28,147595.96,153679.495
2011-09-04,113825.97,143150.2375
2011-09-11,166212.46,148817.1975
2011-09-18,208718.88,159088.3175
2011-09-25,309091.501,199462.20275
2011-10-02,193654.431,219419.318
2011-10-09,296214.24,251919.76299999998
2011-10-16,203708.95,250667.2805
2011-10-23,254775.57,237088.29775
2011-10-30,236456.84,247788.9
2011-11-06,259374.02,238578.845
2011-11-13,263717.33,253580.94
2011-11-20,276216.98,258941.29249999998
2011-11-27,248234.58,261885.7275
2011-12-04,250833.04,259750.48249999998
2011-12-11,408044.97000000003,295832.39249999996
